,All
51->52,0.029411764705882353
52->53,0.00546448087431694
53->54,0.011363636363636364
54->55,0.009615384615384616
55->56,0.0
56->57,0.024390243902439025
57->58,0.007194244604316547
58->59,0.008264462809917356
59->60,0.03225806451612903
60->61,0.0
61->62,0.017094017094017096
62->63,0.0
63->64,0.0
64->65,0.02727272727272727
65->66,0.0
66->67,0.012658227848101266
67->68,0.05454545454545454
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.013513513513513514
72->73,0.0
73->74,0.01
74->75,0.0
75->76,0.0
76->77,0.010869565217391304
77->78,0.030303030303030304
78->79,0.00847457627118644
79->80,0.01282051282051282
80->81,0.008928571428571428
81->82,0.010416666666666666
82->83,0.009174311926605505
83->84,0.01652892561983471
84->85,0.008264462809917356
85->86,0.01639344262295082
86->87,0.007246376811594203
87->88,0.0
88->89,0.010526315789473684
89->90,0.0
90->91,0.0
91->92,0.028985507246376812
92->93,0.0
93->94,0.034722222222222224
94->95,0.0
95->96,0.01680672268907563
96->97,0.0
97->98,0.0
98->99,0.010638297872340425
99->100,0.012987012987012988
100->101,0.0
