,All
51->52,0.08
52->53,0.04
53->54,0.16
54->55,0.08
55->56,0.12
56->57,0.2
57->58,0.0
58->59,0.16
59->60,0.24
60->61,0.28
61->62,0.24
62->63,0.2
63->64,0.08
64->65,0.04
65->66,0.12
66->67,0.0
67->68,0.32
68->69,0.08
69->70,0.04
70->71,0.0
71->72,0.12
72->73,0.04
73->74,0.2
74->75,0.08
75->76,0.16
76->77,0.12
77->78,0.12
78->79,0.08
79->80,0.2
80->81,0.04
81->82,0.08
82->83,0.08
83->84,0.24
84->85,0.48
85->86,0.24
86->87,0.04
87->88,0.0
88->89,0.24
89->90,0.0
90->91,0.16
91->92,0.04
92->93,0.12
93->94,0.2
94->95,0.12
95->96,0.2
96->97,0.04
97->98,0.16
98->99,0.12
99->100,0.12
100->101,0.32
